ID,KokokuID,Text,FileName,URL,Type,Sort
1,1,ローパーテーションほか2件,080827-324-n-ripatesyon.pdf,R8/be/080827-324-n-ripatesyon.pdf,公告,1
2,2,カラーレーザープリンター（借上げ）,080827-323-n-karareza.pdf,R8/be/080827-323-n-karareza.pdf,公告,1
3,3,名寄（Ｒ８）空調機据付その他役務,080827-342-n-kutyouki.pdf,R8/be/080827-342-n-kutyouki.pdf,公告,1
4,4,部隊移動に伴う人員・装備品の海上輸送役務,080827-324-n-butaiidou.pdf,R8/be/080827-324-n-butaiidou.pdf,公告,1
5,5,７８式雪上車（Ｂ）売払い,080827-343-n-78shikisetujyousya.pdf,R8/be/080827-343-n-78shikisetujyousya.pdf,公告,1
6,6,名寄駐屯地　隊庁舎清掃役務,080827-342-n-taityousya.pdf,R8/be/080827-342-n-taityousya.pdf,公告,1
7,7,料理用白ワイン　ほか2件,080827-minamieniwa-n-ryouriyousiro.pdf,R8/be/080827-minamieniwa-n-ryouriyousiro.pdf,公告,1
8,8,小麦粉　ほか158件,080827-minamieniwa-n-komugiko.pdf,R8/be/080827-minamieniwa-n-komugiko.pdf,公告,1
9,9,発動発電機GGN－６２－X撤去役務,080827-332-n-hatudouhatudenki.pdf,R8/be/080827-332-n-hatudouhatudenki.pdf,公告,1
10,10,手巻きおにぎり（昆布）　ほか362件,080826-minamieniwa-n-temakionigiri.pdf,R8/be/080826-minamieniwa-n-temakionigiri.pdf,公告,1
